episode,avg_eps_reward,step,act_loss,crit_loss
0,-23.428965879556962,150,0.0,0.0
1,-46.195920933228784,200,0.0,0.0
2,-1.298143608912174,65,0.0,0.0
3,-34.33137682090572,163,0.0,0.0
4,-61.214114040173605,220,0.0,0.0
5,-67.40854065737916,230,0.0,0.0
6,-31.43576749876933,164,0.0,0.0
7,-50.56439918037026,205,0.0,0.0
8,-19.830070998855476,136,0.0,0.0
9,-64.15523742265769,223,0.0,0.0
10,-50.332594417253915,200,0.0,0.0
11,-26.785920843430052,154,0.0,0.0
12,-48.89975285182014,204,0.0,0.0
13,-59.81241751053636,212,0.0,0.0
14,-28.049280381825128,152,0.0,0.0
15,-34.197601369077375,175,0.0,0.0
16,-70.04478395354677,230,0.0,0.0
17,-47.107200822150034,198,0.0,0.0
18,-18.182526868017437,134,0.0,0.0
19,-1.6018896439919035,66,0.0,0.0
20,-56.786311351737616,217,0.0,0.0
21,-1.9618802652428453,67,0.0,0.0
22,-32.08082214976663,168,0.0,0.0
23,-25.893320538893725,149,0.0,0.0
24,-26.189546851329915,153,0.0,0.0
25,-38.157084661576256,180,0.0,0.0
26,-51.88421339546788,207,0.0,0.0
27,-24.792387754455813,154,0.0,0.0
28,-36.10050031827461,176,0.0,0.0
29,-29.243637627270296,162,0.0,0.0
30,-36.96420623627145,183,0.0,0.0
31,-42.346175539117105,185,0.0,0.0
32,-68.85455950128139,233,0.0,0.0
33,-28.7456855091231,163,0.0,0.0
34,-72.45441229316675,236,0.0,0.0
35,-29.07069853329688,153,0.0,0.0
36,-0.9537624251141782,64,0.0,0.0
37,-54.11192666902574,206,0.0,0.0
38,-72.8290554943146,224,0.0,0.0
39,-42.75600783503983,191,0.0,0.0
40,-56.07444750089809,207,0.0,0.0
41,-34.39132338073604,181,0.0,0.0
42,-30.72224001612371,164,0.0,0.0
43,-24.21575101433076,151,0.0,0.0
44,-46.07335808756225,192,0.0,0.0
45,-40.603151648023974,187,0.0,0.0
46,-43.80463069550119,186,0.0,0.0
47,-22.308107844220757,149,0.0,0.0
48,-18.877766676905818,129,0.0,0.0
49,-18.91861522096589,140,0.0,0.0
50,-20.952548786497022,141,0.0,0.0
51,-102.13453549331099,267,0.0,0.0
52,-34.42687832050885,171,0.0,0.0
53,-47.451215338743744,184,0.0,0.0
54,-0.959222197570673,66,0.0,0.0
55,-67.25388645403493,223,0.0,0.0
56,-21.912848792531317,140,0.0,0.0
57,-32.76134932166589,172,0.0,0.0
58,-20.11618925121794,143,0.0,0.0
59,-64.74247203827262,217,0.0,0.0
60,-96.53580130312432,276,0.0,0.0
61,-39.76141427676656,180,0.0,0.0
62,-27.59731505719508,160,0.0,0.0
63,-235.35575247020716,397,0.0,0.0
64,-83.7582516211828,240,0.0,0.0
65,-36.50250242777417,179,0.0,0.0
66,-78.54964399855928,247,0.0,0.0
67,-54.981137926834066,205,0.0,0.0
68,-31.96802121132401,168,0.0,0.0
69,-94.00275097641672,256,0.0,0.0
70,-39.328255785629864,185,0.0,0.0
71,-72.41843529195748,238,0.0,0.0
72,-16.135389447548523,123,0.0,0.0
73,-66.44864871280939,220,0.0,0.0
74,-26.652114827243174,158,0.0,0.0
75,-43.77281820868484,194,0.0,0.0
76,-27.849871842337794,164,0.0,0.0
77,-41.63020179147803,186,0.0,0.0
78,-68.35843350905418,227,0.0,0.0
79,-30.954822877482833,171,0.0,0.0
80,-51.47331923452774,208,0.0,0.0
81,-29.111836510639115,168,0.0,0.0
82,-39.06257852998537,181,0.0,0.0
83,-99.46831038567426,276,0.0,0.0
84,-52.21879876274796,205,0.0,0.0
85,-23.661491891476487,148,0.0,0.0
86,-33.12741300669672,172,0.0,0.0
87,-32.31464610639153,169,0.0,0.0
88,-23.942524107152554,147,0.0,0.0
89,-0.9193820684870186,66,0.0,0.0
90,-65.86179224793196,235,0.0,0.0
91,-70.17067605965363,233,0.0,0.0
92,-28.003938174512854,161,0.0,0.0
93,-32.95901645642987,164,0.0,0.0
94,-58.40192794696974,217,0.0,0.0
95,-14.964947853387239,128,0.0,0.0
96,-61.21768041544849,225,0.0,0.0
97,-38.39398083831863,177,0.0,0.0
98,-34.37577632691651,168,0.0,0.0
99,-14.186043747777164,125,0.0,0.0
100,-68.1131008370915,235,0.0,0.0
