Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0142290244244959,-0.00460114334157358,-0.0157981758302379,0,0,0,2.49007846050021,0.00625744875770968,-1.59495229293445E-11,-2.61866110672266E-14,0.00489492059233199,7.8598187747419E-15,0.00969112831967179,0,0,0,0,0,0,package://ruff_urdf_2/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ruff_urdf_2/meshes/base_link.STL,,Ruff_base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FR1,0.02612,0.00074305,0.061212,0,0,0,0.35871,0.00044328,-1.6766E-06,-9.9068E-06,0.0003145,-2.576E-06,0.00020521,0,0,0,0,0,0,package://ruff_urdf_2/meshes/FR1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ruff_urdf_2/meshes/FR1.STL,,ruff_FR1-1,Origin_FR1_,Axis_FR1_,FR1_,revolute,-0.16423,-0.26924,-0.015798,-1.5708,-0.011393,3.1416,base_link,0,0,1,0,0,0,0,,,,,,,,
FR2,-0.050266902975153,-0.153493314443097,-0.0344873618774016,0,0,0,0.421019079143915,0.000852068112953311,3.19242906120105E-06,-6.61267552894505E-06,0.000307852923020911,-0.000225635506155653,0.00065120696734265,0,0,0,0,0,0,package://ruff_urdf_2/meshes/FR2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ruff_urdf_2/meshes/FR2.STL,,ruff_FR2-1,Origin_FR2_,Axis_FR2_,FR2_,revolute,0.018006,0,0.065,-0.03726,0,-3.1416,FR1,1,0,0,0,0,0,0,,,,,,,,
FR3,0.0199426770443697,-0.136980779995663,0.102845524022024,0,0,0,0.155935206674882,0.0011552209842016,-4.6955016006765E-08,5.86784342700648E-08,0.000710580255126011,0.000554725888406585,0.000459413413981537,0,0,0,0,0,0,package://ruff_urdf_2/meshes/FR3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ruff_urdf_2/meshes/FR3.STL,,ruff_FR3-1,Origin_FR3_,Axis_FR3_,FR3_,revolute,0,-0.1703,-0.08624,-1.7406,0,3.1416,FR2,1,0,0,0,0,0,0,,,,,,,,
FL1,0.0261197583641308,0.000743054536176027,0.0612123080676893,0,0,0,0.358709196894451,0.000443275444835995,-1.67660322189517E-06,-9.90676696217071E-06,0.00031449685518571,-2.57603919878303E-06,0.000205207659288229,0,0,0,0,0,0,package://ruff_urdf_2/meshes/FL1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ruff_urdf_2/meshes/FL1.STL,,ruff_FL1-1,Origin_FL1_,Axis_FL1_,FL1_,revolute,0.13577,-0.26924,-0.015798,1.5708,0.011393,0,base_link,0,0,1,0,0,0,0,,,,,,,,
FL2,0.0502668928026236,-0.134428755267542,-0.0817222290827659,0,0,0,0.421019703345601,0.000852068973984816,-5.13768905823175E-06,5.24616551512842E-06,0.000479532720674914,-0.000283522017133229,0.000479528178086577,0,0,0,0,0,0,package://ruff_urdf_2/meshes/FL2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ruff_urdf_2/meshes/FL2.STL,,ruff_FL2-1,Origin_FL2_,Axis_FL2_,FL2_,revolute,0.018006,0,0.065,-0.088438,0,0,FL1,1,0,0,0,0,0,0,,,,,,,,
FL3,0.0199426806750425,-0.0857712325916279,0.0854478393872552,0,0,0,0.155935356866044,0.0011552225827831,-5.31526893077721E-08,5.30688563552087E-08,0.000584997668322056,0.000568764371262009,0.000584997612289208,0,0,0,0,0,0,package://ruff_urdf_2/meshes/FL3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ruff_urdf_2/meshes/FL3.STL,,ruff_FL3-1,Origin_FL3_,Axis_FL3_,FL3_,revolute,0,-0.1703,-0.08624,0.22102,0,0,FL2,1,0,0,0,0,0,0,,,,,,,,
RR1,0.0261197575907565,0.000743055572698423,0.0612123099905451,0,0,0,0.358709202698084,0.0004432754734531,-1.67659525417638E-06,-9.90676738149078E-06,0.000314496875947001,-2.57604485783384E-06,0.000205207645858766,0,0,0,0,0,0,package://ruff_urdf_2/meshes/RR1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ruff_urdf_2/meshes/RR1.STL,,ruff_RR1-1,Origin_RR1_,Axis_RR1_,RR1_,revolute,-0.16423,0.23276,-0.015798,1.5708,0.041554,-3.1416,base_link,0,0,1,0,0,0,0,,,,,,,,
RR2,-0.06160606177425,-0.134428666689823,-0.0817221421337367,0,0,0,0.421019010101391,0.0008520681443469,5.13787082493573E-06,-5.2460513438586E-06,0.00047953206951041,-0.000283521501202046,0.000479527873883991,0,0,0,0,0,0,package://ruff_urdf_2/meshes/RR2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ruff_urdf_2/meshes/RR2.STL,,ruff_RR2-1,Origin_RR2_,Axis_RR2_,RR2_,revolute,0.0066673,0,0.065,2.9579,0,-3.1416,RR1,1,0,0,0,0,0,0,,,,,,,,
RR3,0.0296328160267109,-0.085771230190593,0.0854478369707631,0,0,0,0.155935360292347,0.00115522258076454,-5.31359222986219E-08,5.30531767962972E-08,0.000584997673259117,0.00056876436927348,0.000584997605086957,0,0,0,0,0,0,package://ruff_urdf_2/meshes/RR3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ruff_urdf_2/meshes/RR3.STL,,ruff_RR3-1,Origin_RR3_,Axis_RR3_,RR3_,revolute,-0.001649,-0.1703,-0.08624,-1.7898,0,3.1416,RR2,1,0,0,0,0,0,0,,,,,,,,
